2016-04-06 12:10:51 INFO  Game:66 - LOG_CURRENT_SESSION_TAG_20160406121051415
2016-04-06 12:10:53 INFO  Game:88 - Game Loaded!!
2016-04-06 12:11:00 INFO  JMenuBarComponent:367 - Breadcrumbs Menu Selected: VIEW > LOG VIEWER .
2016-04-06 12:11:20 INFO  JMenuBarComponent:244 - Breadcrumbs Menu Selected: FILE > CREATE MAP.
2016-04-06 12:11:26 INFO  JPanelComponent:506 - Button Click Event Btn Name : 0:0:0
2016-04-06 12:11:26 INFO  JPanelComponent:516 - x : 0 , y : 0
2016-04-06 12:11:26 INFO  JPanelComponent:506 - Button Click Event Btn Name : 11:1:0
2016-04-06 12:11:26 INFO  JPanelComponent:516 - x : 1 , y : 0
2016-04-06 12:11:27 INFO  JPanelComponent:506 - Button Click Event Btn Name : 21:2:0
2016-04-06 12:11:27 INFO  JPanelComponent:516 - x : 2 , y : 0
2016-04-06 12:11:27 INFO  JPanelComponent:506 - Button Click Event Btn Name : 22:2:1
2016-04-06 12:11:27 INFO  JPanelComponent:516 - x : 2 , y : 1
2016-04-06 12:11:28 INFO  JPanelComponent:506 - Button Click Event Btn Name : 23:2:2
2016-04-06 12:11:28 INFO  JPanelComponent:516 - x : 2 , y : 2
2016-04-06 12:11:28 INFO  JPanelComponent:506 - Button Click Event Btn Name : 24:2:3
2016-04-06 12:11:28 INFO  JPanelComponent:516 - x : 2 , y : 3
2016-04-06 12:11:28 INFO  JPanelComponent:506 - Button Click Event Btn Name : 34:3:3
2016-04-06 12:11:28 INFO  JPanelComponent:516 - x : 3 , y : 3
2016-04-06 12:11:29 INFO  JPanelComponent:506 - Button Click Event Btn Name : 44:4:3
2016-04-06 12:11:29 INFO  JPanelComponent:516 - x : 4 , y : 3
2016-04-06 12:11:29 INFO  JPanelComponent:506 - Button Click Event Btn Name : 45:4:4
2016-04-06 12:11:29 INFO  JPanelComponent:516 - x : 4 , y : 4
2016-04-06 12:11:29 INFO  JPanelComponent:506 - Button Click Event Btn Name : 46:4:5
2016-04-06 12:11:29 INFO  JPanelComponent:516 - x : 4 , y : 5
2016-04-06 12:11:30 INFO  JPanelComponent:506 - Button Click Event Btn Name : 47:4:6
2016-04-06 12:11:30 INFO  JPanelComponent:516 - x : 4 , y : 6
2016-04-06 12:11:30 INFO  JPanelComponent:506 - Button Click Event Btn Name : 48:4:7
2016-04-06 12:11:30 INFO  JPanelComponent:516 - x : 4 , y : 7
2016-04-06 12:11:30 INFO  JPanelComponent:506 - Button Click Event Btn Name : 49:4:8
2016-04-06 12:11:30 INFO  JPanelComponent:516 - x : 4 , y : 8
2016-04-06 12:11:31 INFO  JPanelComponent:506 - Button Click Event Btn Name : 50:4:9
2016-04-06 12:11:31 INFO  JPanelComponent:516 - x : 4 , y : 9
2016-04-06 12:11:31 INFO  JPanelComponent:640 -  Mouse Right Clicked Event Btn Name : 50:4:9
2016-04-06 12:11:32 INFO  JPanelComponent:640 -  Mouse Right Clicked Event Btn Name : 0:0:0
2016-04-06 12:11:35 INFO  JMenuBarComponent:486 - Breadcrumbs Menu Selected: FILE > SAVE.
2016-04-06 12:11:57 INFO  JMenuBarComponent:501 - Map File  Name:test  selected.
2016-04-06 12:11:57 INFO  JMenuBarComponent:514 - Map file saved successfully!
2016-04-06 12:12:01 INFO  JMenuBarComponent:125 - Breadcrumbs Menu Selected: FILE > PLAY.
2016-04-06 12:12:05 INFO  JMenuBarComponent:156 - Map File  Name:test.tdm  selected.
2016-04-06 12:12:10 INFO  JMenuBarComponent:560 - Game Player Name : Amritansh
2016-04-06 12:12:11 INFO  JPanelComponent:346 - MAP Boundary Points : 3:3,3:1,4:3,4:1,6:2,5:1,6:3,6:4,4:4,4:5,5:6,6:6,8:5,7:4
2016-04-06 12:12:11 INFO  GameInfoPanel:136 - Sun 500, HP :10, WAVE: 1, Critter: Zomby x2, Health: 10.
2016-04-06 12:12:11 INFO  JMenuBarComponent:224 - Map file Loaded successfully!
2016-04-06 12:12:15 INFO  TowerShopPanel:90 - Shop Panel: Tower id = 0
2016-04-06 12:12:17 INFO  TowerDescriptionPanel:136 - BUY Button Clicked.
2016-04-06 12:12:17 INFO  GameInfoPanel:158 - Sun :480, HP :10, WAVE: 1, Critter: Zomby x2, Health: 10.
2016-04-06 12:12:17 INFO  MapPanel:155 - Player bought Tower = 0, Tower_Shooter_towerID_0
2016-04-06 12:12:19 INFO  TowerDescriptionPanel:153 - You have bought a tower.
 Place it ONLY on the YELLOW Part on the map please.
2016-04-06 12:12:21 INFO  JPanelComponent:506 - Button Click Event Btn Name : 64:6:3
2016-04-06 12:12:21 INFO  JPanelComponent:516 - x : 6 , y : 3
2016-04-06 12:12:21 INFO  JPanelComponent:528 - Tower Placcement Button 64:6:3 is clicked
2016-04-06 12:12:22 INFO  TowerShopPanel:90 - Shop Panel: Tower id = 2
2016-04-06 12:12:26 INFO  TowerDescriptionPanel:136 - BUY Button Clicked.
2016-04-06 12:12:26 INFO  GameInfoPanel:158 - Sun :420, HP :10, WAVE: 1, Critter: Zomby x2, Health: 10.
2016-04-06 12:12:26 INFO  MapPanel:155 - Player bought Tower = 2, Tower_Burner_towerID_1
2016-04-06 12:12:27 INFO  TowerDescriptionPanel:153 - You have bought a tower.
 Place it ONLY on the YELLOW Part on the map please.
2016-04-06 12:12:29 INFO  JPanelComponent:506 - Button Click Event Btn Name : 46:4:5
2016-04-06 12:12:29 INFO  JPanelComponent:516 - x : 4 , y : 5
2016-04-06 12:12:29 INFO  JPanelComponent:528 - Tower Placcement Button 46:4:5 is clicked
2016-04-06 12:12:31 INFO  GameInfoPanel:95 - Wave is started 1.
2016-04-06 12:12:35 INFO  Tower:408 - Tower_Shooter_towerID_0 shoots critter id:0 damage:1
2016-04-06 12:12:36 INFO  Tower:408 - Tower_Shooter_towerID_0 shoots critter id:0 damage:1
2016-04-06 12:12:37 INFO  Tower:408 - Tower_Shooter_towerID_0 shoots critter id:0 damage:1
2016-04-06 12:12:38 INFO  Tower:408 - Tower_Shooter_towerID_0 shoots critter id:0 damage:1
2016-04-06 12:12:38 INFO  Tower:408 - Tower_Burner_towerID_1 shoots critter id:0 damage:1
2016-04-06 12:12:39 INFO  Tower:408 - Tower_Shooter_towerID_0 shoots critter id:1 damage:1
2016-04-06 12:12:39 INFO  Tower:408 - Tower_Burner_towerID_1 shoots critter id:0 damage:1
2016-04-06 12:12:41 INFO  Tower:408 - Tower_Burner_towerID_1 shoots critter id:0 damage:1
2016-04-06 12:12:42 INFO  Tower:408 - Tower_Burner_towerID_1 shoots critter id:1 damage:1
2016-04-06 12:12:42 INFO  GameInfoPanel:158 - Sun :427, HP :10, WAVE: 1, Critter: Zomby x2, Health: 10.
2016-04-06 12:12:46 INFO  MapPanel:221 - Critter reached the Exit: -1 from Hit Points!
2016-04-06 12:12:46 INFO  GameInfoPanel:158 - Sun :427, HP :9, WAVE: 1, Critter: Zomby x2, Health: 10.
2016-04-06 12:12:46 INFO  MapPanel:135 - Play smarter, you still have a chance!
2016-04-06 12:12:46 INFO  MapPanel:136 - Play smarter, you still have a chance!
2016-04-06 12:12:46 INFO  MapPanel:170 - Wave end.
